coo: 51.9254352_4.4753878;E 00:00:00;A 00:00:00;E 01:00:00;A 01:00:00;E 02:00:00;A 02:00:00;E 03:00:00;A 03:00:00;E 04:00:00;A 04:00:00;E 05:00:00;A 05:00:00;E 06:00:00;A 06:00:00;E 07:00:00;A 07:00:00;E 08:00:00;A 08:00:00;E 09:00:00;A 09:00:00;E 10:00:00;A 10:00:00;E 11:00:00;A 11:00:00;E 12:00:00;A 12:00:00;E 13:00:00;A 13:00:00;E 14:00:00;A 14:00:00;E 15:00:00;A 15:00:00;E 16:00:00;A 16:00:00;E 17:00:00;A 17:00:00;E 18:00:00;A 18:00:00;E 19:00:00;A 19:00:00;E 20:00:00;A 20:00:00;E 21:00:00;A 21:00:00;E 22:00:00;A 22:00:00;E 23:00:00;A 23:00:00;
2024-01-01;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.38;130.00;6.78;142.24;11.58;155.35;14.40;169.21;14.99;183.46;13.30;197.59;9.49;211.12;3.87;223.81;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2024-01-02;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.39;129.86;6.82;142.11;11.63;155.22;14.47;169.09;15.08;183.36;13.41;197.50;9.61;211.04;4.00;223.75;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2024-01-03;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.41;129.72;6.85;141.97;11.69;155.09;14.54;168.97;15.17;183.25;13.52;197.41;9.73;210.97;4.13;223.70;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2024-01-04;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.44;129.58;6.90;141.84;11.75;154.96;14.63;168.85;15.28;183.14;13.64;197.32;9.86;210.91;4.27;223.65;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2024-01-05;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.48;129.44;6.95;141.70;11.82;154.83;14.72;168.73;15.39;183.04;13.77;197.24;10.00;210.85;4.41;223.61;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2024-01-06;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.53;129.29;7.02;141.55;11.90;154.69;14.82;168.61;15.51;182.94;13.90;197.16;10.14;210.79;4.56;223.57;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2024-01-07;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.58;129.14;7.08;141.41;11.99;154.56;14.93;168.49;15.63;182.84;14.04;197.08;10.29;210.74;4.72;223.54;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2024-01-08;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.63;128.99;7.16;141.27;12.09;154.42;15.04;168.37;15.77;182.74;14.18;197.01;10.45;210.69;4.88;223.51;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2024-01-09;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.70;128.84;7.24;141.12;12.19;154.29;15.16;168.25;15.91;182.64;14.34;196.94;10.61;210.64;5.05;223.49;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
2024-01-10;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.77;128.68;7.33;140.97;12.30;154.15;15.29;168.13;16.05;182.55;14.50;196.87;10.78;210.60;5.22;223.47;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;
